Column1,Overall rank,Country,Score, Region,iso_a3,democracy index,regime
153,154,Afghanistan,3.2030000000000003,Asia,AFG,2.85,1
106,107,Albania,4.718999999999999,Europe,ALB,5.89,2
87,88,Algeria,5.211,Africa,DZA,4.01,2
46,47,Argentina,6.086,South America,ARG,7.03,3
115,116,Armenia,4.559,Asia,ARM,5.54,2
10,11,Australia,7.228,Oceania,AUS,9.09,4
9,10,Austria,7.246,Europe,AUT,8.29,4
89,90,Azerbaijan,5.207999999999999,Asia,AZE,2.75,1
36,37,Bahrain,6.199,Asia,BHR,2.55,1
124,125,Bangladesh,4.456,Asia,BGD,5.88,2
80,81,Belarus,5.3229999999999995,Europe,BLR,2.49,1
17,18,Belgium,6.922999999999999,Europe,BEL,7.64,3
101,102,Benin,4.883,Africa,BEN,5.09,2
94,95,Bhutan,5.082,Asia,BTN,5.3,2
60,61,Bolivia,5.779,South America,BOL,4.84,2
77,78,Bosnia and Herz,5.386,Europe,BIH,4.86,2
147,148,Botswana,3.488,Africa,BWA,7.81,3
31,32,Brazil,6.3,South America,BRA,6.86,3
96,97,Bulgaria,5.011,Europe,BGR,7.03,3
114,115,Burkina Faso,4.587,Africa,BFA,4.04,2
144,145,Burundi,3.775,Africa,BDI,2.15,1
98,99,C̫te d'Ivoire,4.944,Africa,CIV,4.05,2
108,109,Cambodia,4.7,Asia,KHM,3.53,1
95,96,Cameroon,5.044,Africa,CMR,2.85,1
8,9,Canada,7.278,North America,CAN,9.22,4
154,155,Central African Rep.,3.083,Africa,CAF,1.32,1
131,132,Chad,4.35,Africa,TCD,1.61,1
25,26,Chile,6.444,South America,CHL,8.08,4
92,93,China,5.191,Asia,CHN,2.26,1
42,43,Colombia,6.125,South America,COL,7.14,3
141,142,Comoros,3.9730000000000003,Africa,COM,3.15,1
102,103,Congo,4.812,Africa,COG,3.11,1
11,12,Costa Rica,7.167000000000001,North America,CRI,8.13,4
74,75,Croatia,5.432,Europe,HRV,6.57,3
48,49,Cyprus,6.046,Asia,CYP,7.59,3
19,20,Czech Republic,6.852,Europe,CZE,7.69,3
126,127,Dem. Rep. Congo,4.418,Africa,COD,1.14,1
1,2,Denmark,7.6,Europe,DNK,9.22,4
76,77,Dominican Republic,5.425,North America,DOM,6.54,3
49,50,Ecuador,6.028,South America,ECU,6.33,3
136,137,Egypt,4.166,Africa,EGY,3.06,1
34,35,El Salvador,6.252999999999999,North America, SLV,6.15,3
54,55,Estonia,5.893,Europe,EST,7.9,3
133,134,Ethiopia,4.2860000000000005,Africa,ETH,3.44,1
0,1,Finland,7.769,Europe,FIN,9.26,4
23,24,France,6.5920000000000005,Europe,FRA,8.13,4
103,104,Gabon,4.7989999999999995,Africa,GAB,3.61,1
119,120,Gambia,4.516,Africa,GMB,4.33,2
118,119,Georgia,4.519,Asia,GEO,5.42,2
16,17,Germany,6.985,Europe,DEU,8.68,4
97,98,Ghana,4.996,Africa,GHA,6.63,3
81,82,Greece,5.287000000000001,Europe,GRC,7.43,3
26,27,Guatemala,6.436,North America,GTM,5.26,2
117,118,Guinea,4.534,Africa,GIN,3.14,1
146,147,Haiti,3.597,North America,HTI,4.57,2
58,59,Honduras,5.86,North America,HND,5.42,2
75,76,Hong Kong,5.43,Asia,HKG,6.02,3
61,62,Hungary,5.757999999999999,Europe,HUN,6.63,3
3,4,Iceland,7.494,Europe, ISL,9.58,4
139,140,India,4.015,Asia,IND,6.9,3
91,92,Indonesia,5.192,Asia,IDN,6.48,3
116,117,Iran,4.548,Asia,IRN,2.38,1
125,126,Iraq,4.437,Asia,IRQ,3.74,1
15,16,Ireland,7.021,Europe,IRL,9.24,4
12,13,Israel,7.138999999999999,Asia,ISR,7.86,3
35,36,Italy,6.223,Europe,ITA,7.52,3
55,56,Jamaica,5.89,North America,JAM,6.96,3
57,58,Japan,5.886,Asia,JPN,7.99,3
100,101,Jordan,4.906000000000001,Asia,JOR,3.93,1
59,60,Kazakhstan,5.809,Asia,KAZ,2.94,1
120,121,Kenya,4.5089999999999995,Africa,KEN,5.18,2
45,46,Kosovo,6.1,Europe,KSV,5,2
50,51,Kuwait,6.021,Asia,KWT,3.93,1
85,86,Kyrgyzstan,5.261,Asia,KGZ,4.89,2
104,105,Laos,4.796,Asia,LAO,2.14,1
52,53,Latvia,5.94,Europe,LVA,7.49,3
90,91,Lebanon,5.197,Asia,LBN,4.36,2
143,144,Lesotho,3.802,Africa,LSO,6.55,3
140,141,Liberia,3.975,Africa,LBR,5.45,2
71,72,Libya,5.525,Africa,LBY,2.02,1
41,42,Lithuania,6.149,Europe,LTU,7.5,3
13,14,Luxembourg,7.09,Europe,LUX,8.81,4
83,84,Macedonia,5.274,Europe,MKD,5,2
142,143,Madagascar,3.9330000000000003,Africa,MDG,5.65,2
149,150,Malawi,3.41,Africa,MWI,5.5,2
79,80,Malaysia,5.3389999999999995,Asia,MYS,7.17,3
127,128,Mali,4.39,Africa,MLI,4.92,2
21,22,Malta,6.726,Europe,MLT,7.95,3
121,122,Mauritania,4.49,Africa,MRT,3.92,1
56,57,Mauritius,5.888,Africa,MUS,8.22,4
22,23,Mexico,6.595,North America,MEX,6.09,3
70,71,Moldova,5.529,Europe,MDA,5.75,2
82,83,Mongolia,5.285,Asia,MNG,6.5,3
72,73,Montenegro,5.523,Europe,MNE,5.66,2
88,89,Morocco,5.207999999999999,Africa,MAR,5.1,2
122,123,Mozambique,4.466,Africa,MOZ,3.65,1
130,131,Myanmar,4.36,Asia,MMR,3.55,1
